Timestamp,output-volume
2011-02-13 00:00:00,114122.55817975
2011-02-16 00:00:00,73041.4801456611
2011-02-19 00:00:00,185495.99
2011-02-22 00:00:00,357949.32546822
2011-02-25 00:00:00,186897.179152
2011-02-28 00:00:00,132383.50785377
2011-03-03 00:00:00,238003.55858828
2011-03-06 00:00:00,196699.27530034
2011-03-09 00:00:00,252553.80282993
2011-03-12 00:00:00,163502.276648508
2011-03-15 00:00:00,127120.496630356
2011-03-18 00:00:00,176714.044234419
2011-03-21 00:00:00,158865.797179352
2011-03-24 00:00:00,259392.167906921
2011-03-27 00:00:00,152316.61225412
2011-03-30 00:00:00,129980.52542227
2011-04-02 00:00:00,104015.47472046
2011-04-05 00:00:00,129618.83498476
2011-04-08 00:00:00,136261.74605446
2011-04-11 00:00:00,95112.65255369
2011-04-14 00:00:00,153831.98018196
2011-04-17 00:00:00,1309286.84177388
2011-04-20 00:00:00,4794062.39695186
2011-04-23 00:00:00,174675.33621805
2011-04-26 00:00:00,187985.887892289
2011-04-29 00:00:00,786624.110555425
2011-05-02 00:00:00,129386.31647742
2011-05-05 00:00:00,169843.60845061
2011-05-08 00:00:00,540879.736465331
2011-05-11 00:00:00,185790.74064743
2011-05-14 00:00:00,1799447.18849777
2011-05-17 00:00:00,226691.36102929
2011-05-20 00:00:00,356391.42115213
2011-05-23 00:00:00,472545.048058392
2011-05-26 00:00:00,427705.140564651
2011-05-29 00:00:00,274981.89859323
2011-06-01 00:00:00,280980.790201421
2011-06-04 00:00:00,487408.486398733
2011-06-07 00:00:00,534304.44328039
2011-06-10 00:00:00,932800.623082417
2011-06-13 00:00:00,1278971.56743375
2011-06-16 00:00:00,8770518.67537282
2011-06-19 00:00:00,4573895.55149766
2011-06-22 00:00:00,1335096.93551546
2011-06-25 00:00:00,10725139.3769324
2011-06-28 00:00:00,6871645.44918696
2011-07-01 00:00:00,1117797.9220133
2011-07-04 00:00:00,1363358.31084649
2011-07-07 00:00:00,472235.156920441
2011-07-10 00:00:00,2432216.55088744
2011-07-13 00:00:00,1435918.57354408
2011-07-16 00:00:00,1245980.63371847
2011-07-19 00:00:00,2741633.67831262
