Timestamp,n-transactions-per-block
2011-01-31 00:00:00,8.19411764705882
2011-02-03 00:00:00,4.93125
2011-02-06 00:00:00,5.13559322033898
2011-02-09 00:00:00,6.390625
2011-02-12 00:00:00,9.75510204081633
2011-02-15 00:00:00,9.88444444444444
2011-02-18 00:00:00,9.69811320754717
2011-02-21 00:00:00,10.1546391752577
2011-02-24 00:00:00,10.1884057971014
2011-02-27 00:00:00,9.29918032786885
2011-03-02 00:00:00,11.9583333333333
2011-03-05 00:00:00,7.39350180505415
2011-03-08 00:00:00,13.048128342246
2011-03-11 00:00:00,14.4923076923077
2011-03-14 00:00:00,23.5982142857143
2011-03-17 00:00:00,23.8794326241135
2011-03-20 00:00:00,29.7518248175182
2011-03-23 00:00:00,29.1082802547771
2011-03-26 00:00:00,24.1666666666667
2011-03-29 00:00:00,16.6748466257669
2011-04-01 00:00:00,8.97159090909091
2011-04-04 00:00:00,12.9719101123596
2011-04-07 00:00:00,11.4081632653061
2011-04-10 00:00:00,10.0809248554913
2011-04-13 00:00:00,12.2216494845361
2011-04-16 00:00:00,12.4508670520231
2011-04-19 00:00:00,23.3636363636364
2011-04-22 00:00:00,11.9147727272727
2011-04-25 00:00:00,13.5
2011-04-28 00:00:00,18.5060975609756
2011-05-01 00:00:00,22.0614525139665
2011-05-04 00:00:00,14.2131979695431
2011-05-07 00:00:00,18.1635514018692
2011-05-10 00:00:00,17.2185792349727
2011-05-13 00:00:00,19.6328502415459
2011-05-16 00:00:00,17.6072874493927
2011-05-19 00:00:00,27.2690058479532
2011-05-22 00:00:00,20.9603174603175
2011-05-25 00:00:00,20.3843648208469
2011-05-28 00:00:00,32.341935483871
2011-05-31 00:00:00,40.42
2011-06-03 00:00:00,41.7871287128713
2011-06-06 00:00:00,41.6437768240343
2011-06-09 00:00:00,54.8468468468468
2011-06-12 00:00:00,53.3905579399142
2011-06-15 00:00:00,45.1792114695341
2011-06-18 00:00:00,58.6954314720812
2011-06-21 00:00:00,38.3557312252964
2011-06-24 00:00:00,50.5648148148148
2011-06-27 00:00:00,69.5325443786982
2011-06-30 00:00:00,50.4502617801047
2011-07-03 00:00:00,50.6909090909091
2011-07-06 00:00:00,67
2011-07-09 00:00:00,52.6912751677852
2011-07-12 00:00:00,57.7801418439716
2011-07-15 00:00:00,49.9877300613497
2011-07-18 00:00:00,52.8
2011-07-21 00:00:00,53.7039473684211
2011-07-24 00:00:00,49.5120481927711
2011-07-27 00:00:00,45.948275862069
2011-07-30 00:00:00,40.8486842105263
2011-08-02 00:00:00,57.2532467532468
2011-08-05 00:00:00,52.5714285714286
2011-08-08 00:00:00,53.4338235294118
2011-08-11 00:00:00,55.4452554744526
2011-08-14 00:00:00,56.5984848484849
2011-08-17 00:00:00,56.7794117647059
2011-08-20 00:00:00,47.3092105263158
2011-08-23 00:00:00,46.9483870967742
2011-08-26 00:00:00,50.4829931972789
2011-08-29 00:00:00,58.6521739130435
2011-09-01 00:00:00,55.8372093023256
2011-09-04 00:00:00,54.1641791044776
2011-09-07 00:00:00,52.1323529411765
2011-09-10 00:00:00,45.0601503759398
2011-09-13 00:00:00,45.9084507042254
2011-09-16 00:00:00,52.1764705882353
2011-09-19 00:00:00,52.3858267716535
2011-09-22 00:00:00,41.4797297297297
2011-09-25 00:00:00,41.7664233576642
2011-09-28 00:00:00,40.9319727891156
2011-10-01 00:00:00,37.5804195804196
2011-10-04 00:00:00,51.8660714285714
2011-10-07 00:00:00,41.1159420289855
2011-10-10 00:00:00,47.8211382113821
2011-10-13 00:00:00,51.3814432989691
2011-10-16 00:00:00,41.8571428571429
2011-10-19 00:00:00,38.5714285714286
2011-10-22 00:00:00,52.1836734693878
2011-10-25 00:00:00,40.5116279069767
2011-10-28 00:00:00,48.7428571428571
2011-10-31 00:00:00,39.5572519083969
2011-11-03 00:00:00,50.024
2011-11-06 00:00:00,34.9583333333333
2011-11-09 00:00:00,40.0496894409938
2011-11-12 00:00:00,37.0743243243243
