Timestamp,n-unique-addresses
2011-06-30 00:00:00,20208
2011-07-03 00:00:00,19736
2011-07-06 00:00:00,22736
2011-07-09 00:00:00,19626
2011-07-12 00:00:00,19827
2011-07-15 00:00:00,21625
2011-07-19 00:00:00,21575
2011-07-22 00:00:00,21517
2011-07-25 00:00:00,23494
2011-07-28 00:00:00,22503
2011-07-31 00:00:00,21881
2011-08-03 00:00:00,15066
2011-08-06 00:00:00,17405
2011-08-09 00:00:00,20710
2011-08-12 00:00:00,14112
2011-08-15 00:00:00,16081
2011-08-18 00:00:00,18093
2011-08-21 00:00:00,20093
2011-08-24 00:00:00,19095
2011-08-27 00:00:00,16982
2011-08-30 00:00:00,15081
2011-09-02 00:00:00,13795
2011-09-05 00:00:00,15423
2011-09-08 00:00:00,13070
2011-09-11 00:00:00,12860
2011-09-14 00:00:00,12408
2011-09-17 00:00:00,10988
2011-09-20 00:00:00,18674
2011-09-23 00:00:00,17920
2011-09-27 00:00:00,16396
2011-09-30 00:00:00,11283
2011-10-03 00:00:00,11909
2011-10-06 00:00:00,11840
2011-10-09 00:00:00,10536
2011-10-12 00:00:00,11384
2011-10-15 00:00:00,10932
2011-10-18 00:00:00,9916
2011-10-21 00:00:00,10025
2011-10-24 00:00:00,11426
2011-10-27 00:00:00,9205
2011-10-30 00:00:00,9209
2011-11-02 00:00:00,10787
2011-11-05 00:00:00,11062
2011-11-08 00:00:00,11275
2011-11-11 00:00:00,9129
2011-11-14 00:00:00,10912
2011-11-17 00:00:00,9659
2011-11-20 00:00:00,8506
2011-11-23 00:00:00,8817
2011-11-26 00:00:00,7999
2011-11-29 00:00:00,11231
2011-12-02 00:00:00,10573
2011-12-05 00:00:00,10376
2011-12-08 00:00:00,9560
2011-12-11 00:00:00,8796
2011-12-14 00:00:00,9481
2011-12-17 00:00:00,7831
2011-12-20 00:00:00,10326
2011-12-23 00:00:00,9532
2011-12-26 00:00:00,9349
2011-12-29 00:00:00,8976
2012-01-01 00:00:00,8531
2012-01-04 00:00:00,9542
2012-01-07 00:00:00,9897
2012-01-10 00:00:00,11358
2012-01-13 00:00:00,11166
2012-01-16 00:00:00,11532
2012-01-19 00:00:00,11554
2012-01-22 00:00:00,8947
2012-01-25 00:00:00,12953
2012-01-28 00:00:00,10203
2012-01-31 00:00:00,11903
2012-02-03 00:00:00,12425
2012-02-06 00:00:00,10597
2012-02-09 00:00:00,12023
2012-02-12 00:00:00,11267
2012-02-15 00:00:00,14247
2012-02-18 00:00:00,11467
2012-02-21 00:00:00,11225
2012-02-24 00:00:00,12250
2012-02-27 00:00:00,11537
2012-03-01 00:00:00,11932
2012-03-04 00:00:00,12059
2012-03-07 00:00:00,11938
2012-03-10 00:00:00,10033
2012-03-13 00:00:00,12963
2012-03-16 00:00:00,12250
2012-03-19 00:00:00,11570
2012-03-22 00:00:00,12135
2012-03-25 00:00:00,10624
2012-03-28 00:00:00,12531
2012-03-31 00:00:00,10981
2012-04-03 00:00:00,13314
2012-04-06 00:00:00,11820
2012-04-10 00:00:00,13537
2012-04-13 00:00:00,12315
2012-04-16 00:00:00,14672
2012-04-19 00:00:00,13400
2012-04-22 00:00:00,11365
2012-04-25 00:00:00,13544
2012-04-28 00:00:00,12431
2012-05-01 00:00:00,15590
2012-05-04 00:00:00,17784
2012-05-07 00:00:00,20276
2012-05-10 00:00:00,16147
2012-05-13 00:00:00,17073
2012-05-16 00:00:00,20227
2012-05-19 00:00:00,26811
2012-05-22 00:00:00,22280
2012-05-25 00:00:00,24344
2012-05-28 00:00:00,24094
2012-05-31 00:00:00,22548
2012-06-03 00:00:00,26003
2012-06-06 00:00:00,19044
2012-06-09 00:00:00,25160
2012-06-12 00:00:00,17736
2012-06-15 00:00:00,37978
2012-06-18 00:00:00,31461
2012-06-21 00:00:00,23348
2012-06-24 00:00:00,22447
2012-06-27 00:00:00,30787
2012-06-30 00:00:00,25747
2012-07-03 00:00:00,26886
2012-07-06 00:00:00,23077
2012-07-09 00:00:00,25581
2012-07-12 00:00:00,27087
2012-07-15 00:00:00,24275
2012-07-18 00:00:00,27648
2012-07-21 00:00:00,29404
2012-07-24 00:00:00,28741
2012-07-27 00:00:00,26568
2012-07-30 00:00:00,29054
2012-08-02 00:00:00,32876
2012-08-05 00:00:00,29815
2012-08-08 00:00:00,39343
2012-08-11 00:00:00,30148
2012-08-14 00:00:00,33320
2012-08-17 00:00:00,44100
2012-08-20 00:00:00,33907
